Chapter;Prompt;Completion;Total
1;2560;136;2696
2;2175;81;2256
3;3413;176;3589
4;2014;252;2266
5;1856;150;2006
6;2499;345;2844
7;1892;224;2116
8;2130;163;2293
9;2903;354;3257
10;2816;145;2961
11;4245;204;4449
12;3572;253;3825
13;3387;187;3574
14;3421;309;3730
15;3273;274;3547
16;2916;175;3091
17;3081;195;3276
18;2612;205;2817
19;3584;219;3803
20;3241;397;3638
21;4203;280;4483
22;3635;254;3889
23;3412;413;3825
24;3414;198;3612
25;3467;488;3955
26;2806;477;3283
27;3316;314;3630
28;4045;314;4359
29;3624;626;4250
30;3520;239;3759
31;3182;302;3484
32;2076;266;2342
33;4147;312;4459
34;1995;185;2180
35;2873;124;2997
36;2110;219;2329
37;2001;174;2175
