Chapter;Prompt;Completion;Total
1;1608;38;1646
10;1951;564;2515
11;2568;160;2728
12;2046;55;2101
13;2392;148;2540
14;2356;172;2528
15;1502;66;1568
16;1718;185;1903
18;1687;82;1769
19;1610;305;1915
2;1468;335;1803
20;1387;296;1683
21;2689;151;2840
22;2535;167;2702
23;2031;152;2183
24;2089;140;2229
25;2222;126;2348
26;2045;287;2332
27;2403;317;2720
28;1905;185;2090
29;1895;218;2113
3;1507;72;1579
30;2126;257;2383
31;2236;29;2265
32;1095;78;1173
33;2625;92;2717
34;1188;99;1287
35;1377;237;1614
36;979;47;1026
37;1037;109;1146
4;884;105;989
5;1142;44;1186
6;1064;125;1189
7;682;35;717
8;494;103;597
9;1547;209;1756
