Chapter;Prompt;Completion;Total
1;2157;128;2285
2;1702;107;1809
3;2935;221;3156
4;1534;157;1691
5;1368;97;1465
6;1934;96;2030
7;1253;195;1448
8;1629;179;1808
9;2351;271;2622
10;2318;192;2510
11;3713;320;4033
12;3084;186;3270
13;2906;188;3094
14;2942;221;3163
15;2775;345;3120
16;2355;170;2525
17;2561;236;2797
18;2041;197;2238
19;3034;138;3172
20;2639;179;2818
21;3692;131;3823
22;3109;86;3195
23;2767;199;2966
24;2847;276;3123
25;2965;228;3193
26;2291;136;2427
27;2844;217;3061
28;3509;302;3811
29;3051;154;3205
30;3028;239;3267
31;2634;205;2839
32;1596;195;1791
33;3666;189;3855
34;1469;148;1617
35;2338;200;2538
36;1614;243;1857
37;1497;222;1719
